experiment_id,variant_id,question,winner_case,winner_label,SC_1,HT,R_delay,V_reconf_norm,V_mob_net
E10,d2_L6,"Do SC_k, HT, R_delay, and V_reconf_norm help explain who wins?",hybrid,Case C: Hybrid,0.23321942232681822,0.6,5.3333333291111105,0.23887693718492267,0.11973395734713677
E10,d3_L12,"Do SC_k, HT, R_delay, and V_reconf_norm help explain who wins?",fixed_only,Case A: Fixed Only,0.2372251984559508,1.0,20.571428553061224,0.2624216524671458,-23.596692758336417
E10,d3_L24,"Do SC_k, HT, R_delay, and V_reconf_norm help explain who wins?",fixed_only,Case A: Fixed Only,0.2389723073039567,1.0,8.999999998875,2.5442610978872952e-17,-42.13646539473689
E10,d3_L3,"Do SC_k, HT, R_delay, and V_reconf_norm help explain who wins?",hybrid,Case C: Hybrid,0.2316576349497486,0.6,3.9999999976666665,0.205386467240531,-3.381597338374746
E10,d3_L48,"Do SC_k, HT, R_delay, and V_reconf_norm help explain who wins?",fixed_only,Case A: Fixed Only,0.23957847336463753,1.0,9.314285713681599,1.1564823172214978e-18,-83.99503605263135
E10,d3_L6,"Do SC_k, HT, R_delay, and V_reconf_norm help explain who wins?",hybrid,Case C: Hybrid,0.2327468062648407,0.6,8.09999999363,0.14459146354505456,0.3737826266249158
E10,d4_L12,"Do SC_k, HT, R_delay, and V_reconf_norm help explain who wins?",fixed_only,Case A: Fixed Only,0.23761499276912024,1.0,18.09523808385941,0.18705684762913016,-24.94825972587796
E10,d4_L24,"Do SC_k, HT, R_delay, and V_reconf_norm help explain who wins?",fixed_only,Case A: Fixed Only,0.23912674922040206,1.0,11.9999999985,4.625929268885991e-18,-43.3080428947369
E10,d4_L3,"Do SC_k, HT, R_delay, and V_reconf_norm help explain who wins?",hybrid,Case C: Hybrid,0.23114023835773959,0.6,5.666666663277778,0.12547549743194086,-3.2236729958096646
E10,d4_L48,"Do SC_k, HT, R_delay, and V_reconf_norm help explain who wins?",fixed_only,Case A: Fixed Only,0.23885983349283402,1.0,11.99999999925,2.3129646344429958e-17,-86.33819105263183
E10,d4_L6,"Do SC_k, HT, R_delay, and V_reconf_norm help explain who wins?",hybrid,Case C: Hybrid,0.23078715132718197,0.6,10.999999991416665,0.0,-0.6980907894736674
E10,conc0.35_res1,"Do SC_k, HT, R_delay, and V_reconf_norm help explain who wins?",fixed_only,Case A: Fixed Only,0.20765270225208352,1.0,2.4666666664125927,2.9738116729260854e-17,-83.38357894736873
E10,conc0.35_res2,"Do SC_k, HT, R_delay, and V_reconf_norm help explain who wins?",fixed_only,Case A: Fixed Only,0.20762706908042478,0.42857142857142855,2.499999999738889,5.2867763074241514e-17,-83.38357894736873
E10,conc0.35_res3,"Do SC_k, HT, R_delay, and V_reconf_norm help explain who wins?",fixed_only,Case A: Fixed Only,0.20824914824149984,0.42857142857142855,2.533333333065185,2.3129646344980663e-17,-83.38357894736873
E10,conc0.35_res4,"Do SC_k, HT, R_delay, and V_reconf_norm help explain who wins?",fixed_only,Case A: Fixed Only,0.20948221229756916,0.2857142857142857,2.6416666663746065,2.3129646344980663e-17,-83.38357894736873
E10,conc0.35_res5,"Do SC_k, HT, R_delay, and V_reconf_norm help explain who wins?",fixed_only,Case A: Fixed Only,0.21010711530163073,0.2857142857142857,2.6416666663746065,6.608470384280189e-18,-83.38357894736828
